a1,0,232.7785,1231.226,2053.038,1593.89
a2,0,74.1123,577.2723,1483.131,2706.708
a3,0,-13.91127,-67.95374,-104.8442,146.6143
a4,0,0.005571483,0.02958542,0.04564888,0.0414196
a5,0,0,0,0,0.3426349
a6,0,-4.470533,-6.008212,1.758178,19.49814
a7,0,0,0,0,4.90383
a8,0,-0.002271549,-0.002750074,0.03166411,0.05212154
a9,0,0.02610989,0.0923186,-0.3294936,1.312179
a10,0,0,0,0,0.8073972
a'11,1.374484,6.460705,7.732821,-0.243448,1.031538
a'12,-1.299394,-5.596506,-5.168234,-1.577474,1.043715
a13,0,-9.585707,-26.42511,-8.542048,785.9573
a14,-48.61703,-348.6057,-76.30093,2459.681,3858.911
a15,0,37.97254,185.0341,295.2979,288.872
a16,0,0.08398728,0.3805871,0.5613746,7.19658
a17,0,0,0,0,0
a'18,-0.3021475,-1.975518,-3.768678,-2.154437,0.2187715
a'19,0.6957529,4.023635,6.442199,1.839725,1.46644
a20,19.50698,76.33811,115.6058,81.78458,26.52091
a21,0,-0.9945065,-3.312828,-2.947609,1.472103
a22,0,-3.594543,-9.745523,-5.679941,3.071048
a23,0,-0.07445123,-0.03292551,1.019135,2.61789
a24,0,0.001732469,0.009610479,0.01773287,0.01075567
a25,0,0.3035051,1.19501,1.899331,1.476246
a26,0,0.03599801,0.09968707,-0.06601663,5.502535
a27,0,-14.74939,-10.45625,68.19618,95.11033
a28,0,-2.463185,-4.650511,10.12033,31.13458
a'29,0,-0.05588658,-0.06850581,0.4578814,1.413057
a30,0,2.87368,22.6497,51.96646,39.10862
a31,0,0,0.2709724,-0.2855179,4.597479
a32,0,0,-0.07294429,0.2827718,6.682518
a33,0,0,0,0,0
a34,0,0.002599706,0.0334899,0.1158624,0.1910302
a35,0,-0.04508946,-0.1366593,0.07277637,0.3931056
a36,0,0.02455361,0.09988332,0.1204424,0.3267776
a37,0,0.01777283,0.06207626,0.05570264,0.5990212
a38,0,0.008346941,0.2316416,0.5192827,0.7330122
a39,0,-0.02859837,-0.1193023,-0.1209262,1.172768
a40,0,-0.05219837,-0.2262539,-0.2296279,0.3982622
a41,0,-0.006359648,-0.02611794,-0.02223625,3.571038
a42,0,0,0.3564,1.1386,1.9848
a43,0,0,0.00984,0.0481,0.063
a44,0,0,0,2.45,1.2
a45,0,-0.003378734,-0.02232007,0.001828075,0.23214
a46,0,-0.00371066,0.001421393,0.003427682,0.01163659
a47,0,-0.004234354,-0.0168686,-0.01231921,0.0104802
a48,0,-0.1066441,-0.5197429,-0.3223927,1.55559
a49,0,0,-0.0753,-0.231,0.0977
a50,0,0,0.595,0.18,0.24
a51,0,0,0.218,0.132,0.33
a52,0,0,0.18,0.415,1.1064
a53,0,0,0.176,0.377,1.19
a54,5.284014,10.60894,5.676742,-0.06104166,0.3855707
a55,5.280991,10.54952,5.494644,-0.6442936,0.3579064
a56,0,0,0.2017321,0.8777464,0.9587587
a57,0,0,0,0,0
a58,0,-0.07202918,-0.3108742,-0.1683928,0.4907546
a59,0,-1.623246,-1.61269,-4.465455,4.53707
a60,0,0.3421036,1.423325,0.281402,1.79622
a61,0,0.4396373,1.537867,0.37734,2.256216
a62,0,0,-0.0352,-0.0475,0.0843
a63,0,0,0.04426,0.0749,0.0736
a64,0,0,0,0.0352,0.136
a65,-0.00121653,-0.004951011,-0.004439786,0.001653042,0.001564231
a66,0,0,0,0.296,1.477
a67,0,0,-2.12087,-4.143695,5.210157
a68,0,0,0,0.166,1.116
a69,0,-0.01582349,-0.08623831,-0.1164852,1.071489
a70,0,0.03622146,0.3926983,0.7935927,0.7108492
a71,0,-0.002833691,-0.01512955,-0.02585474,3.478514
a72,0,0.03636784,0,-0.1653695,0.9132108
a73,0,0.0001897857,0.001720906,0.004539076,0.003969331
a74,0,0,0.3322,0.764,1.6
a75,0,0,0,-0.6282,0.8109
a76,0,1.551656,1.230969,0.01083057,0.01192334
a77,0,-16.6807,-11.05027,0.5818123,-0.1668868
a78,0,-0.09371415,-0.2011333,0.1068243,0.7615495
a79,0,0,0,1.522928,9.409838
a80,0,0,-0.0838,-0.5756,-0.2711
a81,0,0,0,1.1475,2.493
b1,0,0,0.5293,0.28826,0.397
b2,0,0,0,0,0
b3,0,0,0,0,0
b4,0.8638115,2.223436,2.38383,0.8164393,0.9960283
b5,-0.01349129,-0.05798167,-0.05444596,0.07072646,0.2561062
b6,0.699208,3.1305,4.299661,1.467883,1.157338
b7,0.1728098,0.7914079,0.9962137,0.305001,0.4022765
b8,0,0,0,0,0
b9,0,0,0,355.7098,2751.631
b10,0,0,0,0.05872664,-0.03820831
b'11,0,0,-39.49739,-89.70339,107.1738
b12,0,0,-37.937,-153.102,734.8793
b'13,0,0,-0.5561309,-2.005865,9.219293
b'14,0,0,0.5751814,1.57529,2.917412
b15,0,0,1.042291,-0.9112722,3.629118
b'16,0,0,0.784485,2.862149,4.916389
b17,0,0,0,0,0
b18,0,0,6.385758,-12.89968,54.96045
b19,0,0,0.05696128,-0.05766608,1.832694
b20,0,0,0,0,121.1104
b21,0,-26.3534,11.70177,218.7113,221.4088
b22,0,-0.06140719,0.2654323,0.7363827,2.063983
b23,0,0.2362266,0.965645,0.9388871,2.00316
b'24,0,8.334227,22.7701,7.391573,16.09901
b25,0,-0.01844559,-0.02324229,0.06271202,0.17475
b26,0,0,0,0,0
b'27,0,0.2496551,0.4996927,0.02729201,2.752869
b28,0,-0.2179426,-0.4556216,1.11244,3.518506
b29,0,0,-5.498343,-11.68838,162.6062
b30,0,0,-0.02011751,-0.1458043,0.3336833
b'31,0,10.18259,30.3391,17.90236,74.25137
b32,0,-31.58268,-77.02152,-97.39859,926.8325
b33,0,0,0,0.3892972,2.474401
b'34,0,-0.9474699,-1.443664,1.622158,11.27018
b35,0,0,0,0,0
b'36,0,0.0156709,0.03093878,-0.06180219,0.1445216
b'37,0,-0.009732503,0.004142455,0.1395919,1.304129
b'38,0,0,0,-0.0116085,0.5114149
b39,0,-1.37914,-0.5143082,20.08258,131.4955
b40,0,0,-4.307878,-3.074559,18.23973
b'41,0,0.2087263,1.208407,2.403445,2.327037
b42,0,0,0,-0.8126205,1.997378
b43,0,0.003058818,0.01096601,0.01762409,0.1079113
b'44,0,-0.1084117,-0.2158431,0.6901582,2.327409
b45,0,0,0,0,0
b46,0,0,0,-1.975747,2.214315
b47,0,0,0,0,0
b48,0,1.316965,6.961724,11.46189,5.072525
b49,0,0,0,0,5.13974
b50,0,0,0,0,0
b'51,0.303127,2.601976,3.622359,1.306486,1.125124
b52,0.07632745,0.2300156,0.1131793,0.004531269,0.3349489
b'53,3.339719,8.963904,9.45558,2.798142,1.467794
b54,0.1607092,0.7394505,0.9048179,0.2597451,0.4658512
b55,0,0,0.045,0.13156,1.0422
b'56,0.8826352,2.445602,2.735487,0.9623856,1.110899
b'57,-0.1276203,-0.3925259,-0.4461431,-0.1728865,-0.1584333